song_id,title,current_level,tester,severity,finding,recommended_action
S003,极夜行,7,QA02,high,中后段1:08-1:18有连续16分音符同轨连打，间隔不到120ms，实测新手在这段几乎必断连击。这段的单轨压力远超7级谱面正常范围，感觉像在做9级谱面的手速要求。,建议上调至9级，或保留7级但削薄同轨连打段的密度
S003,极夜行,7,QA04,high,同轨连打密度0.067远高于同等级均值0.035附近，而且这段变轨前没有缓冲，直接从分散音型切到集中连打，对读谱也不友好。,建议上调至9级，或保留7级但削薄同轨连打段的密度
S003,极夜行,7,QA01,medium,整体谱面后半段疲劳度明显偏高，NPS峰值16.5出现在连打段，配合SV变化让节奏感更难抓。,建议上调至9级，或保留7级但削薄同轨连打段的密度
S009,烈焰风暴,10,QA01,medium,全曲节奏模式非常统一，主体是8分音符交替+少量16分填充，重复段落占了全曲约65%。虽然总音符数多但实际读谱压力不大，就是个体力谱。,建议下调至8级或9级
S009,烈焰风暴,10,QA02,medium,我作为中段位玩家居然能打到88%准确率，这在10级谱面里不太常见。对比同等级的其他谱面明显感觉这个偏简单。,建议下调至8级或9级
S009,烈焰风暴,10,QA03,low,只有一段加速段（1:42-1:50）稍微有点压力，其余部分都是'看起来吓人但打起来顺手'的状态。感觉最多是个强8级弱9级。,建议下调至8级或9级
S009,烈焰风暴,10,QA04,medium,谱面设计没问题，但标级确实偏高。同样的节奏密度在其他音游（参考osu!mania 4K）一般在4.2-4.5星左右，对应我们体系大概8-9级。,建议下调至8级或9级
S011,暗影突袭,10,QA01,high,前奏就有高速双押+切轨，0:12-0:18直接进入高密度jack段，连我都有一次失误。谱面门槛很高，新手几乎没有适应期。,建议上调至11级
S011,暗影突袭,10,QA02,high,中段变速三次，每次变速后都是密集连打，节奏切换频繁。黄金段位通关率只有20%，说明这个标级明显低估了实际操作难度。,建议上调至11级
S011,暗影突袭,10,QA04,high,jack_density_16th=0.092，chord_ratio=0.45，这两项数值在10级谱面中都偏高。跟同等级的S030对比，S030 jack密度才0.070。,建议上调至11级
S016,熔岩之心,11,QA01,medium,全程体力消耗大但技术门槛不算极端，没有特别难读的段落。实际上我两次就FC了。,建议下调至10级
S016,熔岩之心,11,QA04,medium,钻石段位通关率28%、平均准确率65%，比同类11级谱面（S013通关率18%、S029通关率22%）明显偏高。标11级可能不太合理，10级更合适。,建议下调至10级
S020,量子跃迁,12,QA01,low,名副其实的12级，0:30-0:45连续三押+四押+变速组合，我打了五次才过。是所有谱面里最难的。,维持12级不变
S020,量子跃迁,12,QA04,low,各项指标都在12级合理范围内，chord_ratio=0.50，NPS峰值22.8虽然很高但分布合理，没有突兀的难度尖刺。标级合理。,维持12级不变
S026,断罪之花,12,QA01,medium,开篇就上高速连打，0:05-0:22不间断地16分双押+切轨，没有热身段。虽然整体难度够12级，但起手门槛设置得偏高了。,维持12级，但建议调整开头段的节奏梯度
